#検索キーワード	辞書	match	count	結果1	結果1_ID	結果1_検索順位	結果2	結果2_ID	結果2_検索順位	結果3	結果3_ID	結果3_検索順位	結果4	結果4_ID	結果4_検索順位	結果5	結果5_ID	結果5_検索順位	結果6	結果6_ID	結果6_検索順位	結果7	結果7_ID	結果7_検索順位	結果8	結果8_ID	結果8_検索順位	結果9	結果9_ID	結果9_検索順位	結果10	結果10_ID	結果10_検索順位
5-methyltetrahydropteroyltriglutamate-- homocystei ne methyltransferase	univ	cs	10	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	9312570fba8d6fac20f8eb208a131ac7mlt_after	1	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1	c5b78557ee1a2b21ea6f6332bbdff4cdmlt_after	3	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 2	89f86cc2a2bc480a63f2fba38d64833amlt_after	4	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	908f4aef082254b8a5d4b9d75c702823mlt_after	2	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 3, chloroplastic	d96201a68193de07e02e9f12244a550dmlt_after	10	homocysteine S-methyltransferase	078be2801d6868cfd7ea69271da316c4mlt_after	5	Homocysteine S-methyltransferase 1	c537c99cd58967d2bf773978e981f532mlt_after	6	Homocysteine S-methyltransferase 2	b1bb7218b7296c54df4eda535a565e1dmlt_after	7	Homocysteine S-methyltransferase 3	2eebc1a5a65472e420b8f3fdb638cfafmlt_after	8	Homocysteine S-methyltransferase 4	cc20f58322fce63b535e5e1dd3ab4ec7mlt_after	9
50S ribosomal protein L5 (BL6)	univ	cs	10	60S ribosomal protein L5-B	a04954f68c8de80fa492917f60613f2bmlt_after	0	50S ribosomal protein L5	777edc34448a7895238a72019f5df3b2mlt_after	1	60S ribosomal protein L5	de89c85cf615ae33f0bf54c1753a76b9mlt_after	0	50S ribosomal protein L5, plastid	3c0afb8a23a08b5c3dc01627470e116fmlt_after	5	60S ribosomal protein L5-1	071bc46820361cbfcaf509110e420a19mlt_after	0	60S ribosomal protein L5-2	a42970e5fc3f8e546f1e3ec346909147mlt_after	0	60S ribosomal protein L5-A	03ead1f7e48779e8ee5d844bf7c6267bmlt_after	0	50S ribosomal protein L3	48aff599a6403467e3b6819b345e8724mlt_after	2	50S ribosomal protein L9	85efc0d69a8a106b6ac4e445b8f90d80mlt_after	4	50S ribosomal protein L4	985add36ff724553dcf0db5bc3be2ae7mlt_after	3
AAA ATPase superfamily	univ	cs	10	AB hydrolase superfamily protein YclE	f308a293a90d5851e23c415aca51e74amlt_after	0	AB hydrolase superfamily protein YdjP	edf0f9f7cfb2119ab3be197ddc43eef5mlt_after	0	AB hydrolase superfamily protein YfhM	0926297e5fbe28e01406c55d9a0a44b4mlt_after	0	AB hydrolase superfamily protein YisY	32c8e5f139eba384b80cff20e7b7f1b8mlt_after	0	AB hydrolase superfamily protein YvaM	5ef55c609f34c12b8da6904ede9eca5cmlt_after	0	Enolase superfamily member DDB_G0284701	58f120f7e3c4fcbf643f72af085a2550mlt_after	0	AB hydrolase superfamily protein B1A11.02	8de9030bdeb2ff4643708ab31434d428mlt_after	0	AB hydrolase superfamily protein C1039.03	45c52ca23210c333ad9e5b04dd7a833cmlt_after	0	AB hydrolase superfamily protein C4A8.06c	3c8371db91c9a2307c4c1f6149485e4amlt_after	0	AAA family ATPase L572	eb0af67e30eb3fb99e9ca0981f480e85mlt_after	1
ABC transport permease protein-involved in lipoprotein release	univ	cs	10	Protein INVOLVED IN DE NOVO 2	9b8ccc3e7b78f5853d70c3eec89b7102mlt_after	0	ABC transporter permease protein RP096	c2e239cd6f03dda4c6371d139dfc0b17mlt_after	0	ABC transporter permease protein RC0129	9ecf347aa5b1de25beaafcdf49058facmlt_after	0	ABC transporter permease protein RT0041	1d1f6804b439313affd0a5b0b7489c26mlt_after	0	ABC transporter permease	143a5571999329a1ac2575c2cfefc74amlt_after	1	ABC transporter permease protein RF_0080	4f21cf98fc0a2ebefccbee68712ea63amlt_after	0	ABC transporter permease protein NatB	ed0e045c0ec77c1fe6870f17beb128d9mlt_after	0	ABC transporter permease protein YxdM	c8cc7879b416bc913a31169cdd7c9f94mlt_after	0	ABC transporter permease protein NosY	73ed47b4c02fadb77a6a308f6972654dmlt_after	0	ABC transporter permease protein YesP	b475e1c903e1c27c6188689406fe0896mlt_after	0
ABC transport system permease	univ	cs	10	ABC transport system permease protein p69	125cbe8ecab52316e38b1fb390640125mlt_after	0	transport system permease protein NifC	236a90ca0783f8c08f7a89b8d457c11emlt_after	0	Ferric transport system permease protein FbpB	944c9ac8ae1bbdf2ce46663115d4f556mlt_after	0	ferric transport system permease protein FbpB 1	f519666788d191ae00e99b157471a04dmlt_after	0	Fe(3+)-transport system permease protein SfuB	6add3dfa62ce360376837a139953e58fmlt_after	0	Fe(3+)-transport system permease protein FbpB 2	d8b7ebc19bc9dafb6b4544f698a83b99mlt_after	0	Hemin transport system permease protein HmuU	1111b7b98280a732e9074cc3d6219260mlt_after	0	hemin transport system permease protein HrtB	2d90ad556b9212da97b0e722278cd059mlt_after	0	sulfate transport system permease protein cysT	04b3401bc879de988062127d2ab29fe4mlt_after	0	ferric transport system permease-like protein AfuB	37ac458cc254dd52d04b0ff2dae82e19mlt_after	0
ABC transporter phosphate binding protein	univ	cs	10	ABC transporter phosphite binding protein PhnD1	90ee48873b08c95698310f0730d8fe3amlt_after	2	ABC transporter phosphonate/phosphite binding protein PhnD2	cd2bcbf7930f519e22598a4409d84a7fmlt_after	5	phosphate ABC transporter substrate-binding protein PstS	dd1bdc24742aff5cc7a394ee114346e8mlt_after	4	phosphate ABC transporter ATP-binding protein	2ac3e5fec0870d23c6e88d15ea47974fmlt_after	6	ABC transporter substrate-binding protein	9a0823cb9d174428965241f9c74ab322mlt_after	1	phosphate ABC transporter ATP-binding protein PstB	add092e34826947015fd624a4dfb6f31mlt_after	2	sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB	447209e12f4ba9d2df72941a3af1d1f1mlt_after	8	zinc ABC transporter substrate-binding protein	8481fdf72a5313bb2e26371576805dcamlt_after	9	ABC transporter substrate-binding protein YesO	1ee492cfa1590aa6f8a4853e97e70b83mlt_after	7	2-aminoethylphosphonate ABC transporter substrate-binding protein	352bd723c98650592cae4825e62221a7mlt_after	10
ABC transporter, ATP-binding/permease protein	univ	cs	10	ABC transporter ATP-binding/permease protein YojI	d9f188464db43cd3b48fb5dc6914a8a1mlt_after	5	ABC transporter ATP-binding/permease protein Rv1747	b1af030e5b7beb5751572c802e6ee0acmlt_after	5	ABC transporter ATP-binding/permease protein HI_0664	546db89d929135c4d08c3437f32027a8mlt_after	5	Fatty acid ABC transporter ATP-binding/permease protein	98a6d308dbf51e6d0612520a822b1315mlt_after	8	ABC transporter ATP-binding protein/permease PDR18	8b77e0c53abbf69b47949ac223648585mlt_after	1	ABC transporter ATP-binding protein/permease VMR1	9c7d5babd3279e632bbca206da17e801mlt_after	1	ABC transporter ATP-binding protein/permease wht-1	fe6e1e3800a6719f8c1f14c9aea99a79mlt_after	1	ABC transporter ATP-binding protein/permease wht-3	f63aac7c7cd213fb0e19cae846d2882cmlt_after	1	lipid A ABC transporter ATP-binding protein/permease MsbA	2ade931b1e6991f4176e728f5a12166fmlt_after	9	heme ABC transporter ATP-binding protein	d11a5a8f32d60256df8c3abedfd037e6mlt_after	10
ABC-type Co2  transport system, periplasmic component	univ	cs	10	hypotheticalABC transport system, periplasmic component	34b3519f7d98ca7c24eef2ca31cbc9c1mlt_after	0	Mercuric transport protein periplasmic component	accb12646fcbdf6b8302f0abcb5758b7mlt_after	0	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components	bedda97b66594ba7d9f3f01f2af9ac2emlt_after	0	ABC transport system permease protein p69	125cbe8ecab52316e38b1fb390640125mlt_after	0	Kef-type K+ transport systems, predicted NAD-binding component	5aee34af0c29a94a435cfb39537225b3mlt_after	0	Two-component system protein A	ad14ae573a46c4c624bc8485865a56d2mlt_after	0	Two-component system protein B	952b36411c352f7fa845f0fff3956792mlt_after	0	transport system permease protein NifC	236a90ca0783f8c08f7a89b8d457c11emlt_after	0	TMAO reductase system periplasmic protein TorT	9f9cec2c4bb2e32f042906b6238e203amlt_after	0	ABC transporter periplasmic-binding protein	b803388e28a419d81bbec9d82bbd87f6mlt_after	0
ABC-type dipeptide/oligopeptide/nickel transport system, permease component	univ	cs	10	Oligopeptide transport system permease protein AmiC	af94497f29968d886fa3d52d57f9111emlt_after	0	Oligopeptide transport system permease protein AmiD	9f88bcf23e556e1bb90b1a2c321f545cmlt_after	0	Oligopeptide transport system permease protein AppB	b6daa28d032a350a1053565a091a3b3fmlt_after	0	Oligopeptide transport system permease protein AppC	d71082797fabbe015aa3a0d37f2d9bdbmlt_after	0	Oligopeptide transport system permease protein OppB	b790b2551ad0f94aa1ce96676b274fc6mlt_after	0	Oligopeptide transport system permease protein OppC	121d7a89d83eb541e204f8dcf0f11895mlt_after	0	Nickel transport system permease protein NikB	c98c2022351ea02095b2d1dff0a56ec6mlt_after	0	Nickel transport system permease protein NikC	1ca7b17e43c4fc3831b2ef3e4d05a539mlt_after	0	Dipeptide transport system permease protein DppB	64c7d919488376fc35b8f9fee68761c4mlt_after	0	Dipeptide transport system permease protein DppC	88d66015d7c57653d2ee6a0ca6d15c34mlt_after	0
ABC-type multidrug transport system permease component	univ	cs	10	ABC multidrug transporter A	117176effc8d71194eff96a76e653d5fmlt_after	3	ABC multidrug transporter B	d44b85a712b7574ab89916e632cf1a46mlt_after	3	ABC multidrug transporter C	a7e901a5d3959d9355993f7506cb6314mlt_after	3	ABC multidrug transporter E	878b3b9eedd173a2554580cfe1cd1315mlt_after	3	ABC multidrug transporter MDR1	2ede8f2de537007901f1133794e80d24mlt_after	3	ABC multidrug transporter MDR2	2ea08b185c9ab5c269dd53a443c4d50amlt_after	3	ABC multidrug transporter mdr4	fb904aa861484b65c7118f0c7e3f9570mlt_after	3	aminoglycoside/multidrug transporter permease	6b9774ae6794edd794cd7f2c4ce1df47mlt_after	1	ABC transport system permease protein p69	125cbe8ecab52316e38b1fb390640125mlt_after	2	multidrug transporter MdtG	89eb701fa86f434139be6d9c7d589a20mlt_after	10
ATP synthase C chain (Lipid-binding protein)(Dicyclohexylcarbodiimide-binding protein)	univ	cs	10	ATP synthase lipid-binding protein, mitochondrial	127c9b6cfff72bc98e74f4055ac0793emlt_after	10	Uncharacterized ATP synthase C chain-like protein	85e1da677e2d3aec1309a47d9342107amlt_after	4	lipid-binding protein AIR1	262b3fc90942680e75623ece937475e0mlt_after	1	lipid-binding protein AIR1B	b955caa9f36f12e95d0448ef12bd0854mlt_after	1	lipid-binding protein At4g00165	9070256e7b7d9095bd32bd9060ad4a6dmlt_after	1	phospholipid-binding protein MlaC	7e1d20a4583ef2adc139cc6e3e04c3f4mlt_after	5	C4-dicarboxylate-binding protein DctB	cba0a1a93301987a4daccdad1bcca0f2mlt_after	6	Membrane-anchored lipid-binding protein LAM1	ed6f2858ae4e98721c95441d3954ed1emlt_after	7	Membrane-anchored lipid-binding protein LAM4	8ea30c7a557fc07553fa0bfad0e5ca38mlt_after	8	Membrane-anchored lipid-binding protein LAM5	32cc00a52382e88808cd25655172c710mlt_after	9
ATP synthase F0, A subunit	univ	cs	10	ATP synthase subunit 1	dc243df1ed371eb40244c387c9b39256mlt_after	9	ATP synthase subunit L	f60214d5939a6795ab45a8a5239f965bmlt_after	10	ATP synthase subunit a	0ff0d2d252535bc4719b80a185f1ce0dmlt_after	1	ATP synthase subunit b	000b60dccfcd07d995b45fc80f5dd157mlt_after	5	ATP synthase subunit c	f9f9f242096137c5e6291cc30edabe87mlt_after	8	ATP synthase subunit a 1	53ab5db3878ad57b3f2fef1751e524ddmlt_after	2	ATP synthase subunit a 2	c9354b85e1cdc73b0e9c0e6a6957cb40mlt_after	3	ATP synthase subunit a 3	ebcddbd1551c62e09a185bbb2dc424e6mlt_after	4	ATP synthase subunit b 1	3354181ed1d13adba26861bb5fc4183cmlt_after	6	ATP synthase subunit b 2	e5dc37829b0b349b34783c2d4afdaa9fmlt_after	7
ATP synthase F1, alpha subunit	univ	cs	10	F0F1 ATP synthase subunit alpha	7f4e4f860a5bbcc7e32a3d86475277famlt_after	6	ATP synthase subunit alpha	36ba9d1b4f865b0052a5c507d5f97ad8mlt_after	1	ATP synthase subunit alpha 1	7fb9573b547e292f86b4bb5409e0187amlt_after	2	ATP synthase subunit alpha 2	ab35201970b797f7d3426f2a5ab3f26cmlt_after	3	ATP synthase subunit alpha 3	b46796969bd861903afcfbe4f0d5ac44mlt_after	4	ATP synthase subunit alpha 1/3	acae3a033e4d2e23b0f3eb98007ec43amlt_after	5	F0F1 ATP synthase subunit B	120386688d2634f71bd0d197dd1079b0mlt_after	8	F0F1 ATP synthase subunit I	818a9fe9748c3303cdd8bbd361d48231mlt_after	10	F0F1 ATP synthase subunit A	8ea5495dffbd2dbb41c98cc1de79bc8fmlt_after	7	F0F1 ATP synthase subunit C	6bd02392d9f351910baa960b3f7f84f0mlt_after	9
ATP synthase F1, beta subunit	univ	cs	10	ATP synthase subunit beta	51cf6e2d6dad816519ea602feda0352dmlt_after	1	ATP synthase subunit beta 1	42a4a9b0954d63a490a0f597a75f2365mlt_after	2	ATP synthase subunit beta 2	157801f169fa59d61cda8763aff7e9demlt_after	3	ATP synthase subunit beta 3	a8912a349afb5b543ab305e056aad464mlt_after	4	F0F1 ATP synthase subunit beta	26a5336a1ff44784da4bb58776b6f5abmlt_after	5	ATP synthase subunit 1	dc243df1ed371eb40244c387c9b39256mlt_after	6	ATP synthase subunit L	f60214d5939a6795ab45a8a5239f965bmlt_after	7	ATP synthase subunit a	0ff0d2d252535bc4719b80a185f1ce0dmlt_after	8	ATP synthase subunit b	000b60dccfcd07d995b45fc80f5dd157mlt_after	9	ATP synthase subunit c	f9f9f242096137c5e6291cc30edabe87mlt_after	10
ATP synthase F1, delta subunit	univ	cs	10	ATP synthase subunit delta	a00836c489226da6c6ceef81f99c6904mlt_after	1	ATP synthase subunit b-delta	eeae58758b603aa63ef0a39e71d34a56mlt_after	2	ATP synthase subunit delta 1	004442cc5b1c666348472e86918fc5abmlt_after	3	ATP synthase subunit delta 2	a5664e9ff905b6c2932bcb93a74b6c19mlt_after	4	F0F1 ATP synthase subunit delta	75e9d022c5b6ae46f766b0a91a8ebcc6mlt_after	5	F0F1 ATP synthase subunit B/delta	05750c258b7d5932954e998777674156mlt_after	6	ATP synthase subunit delta, cyanelle	8855eafd5464441cfe428db7bbb67406mlt_after	7	ATP synthase subunit 1	dc243df1ed371eb40244c387c9b39256mlt_after	8	ATP synthase subunit L	f60214d5939a6795ab45a8a5239f965bmlt_after	9	ATP synthase subunit a	0ff0d2d252535bc4719b80a185f1ce0dmlt_after	10
ATP synthase F1, epsilon subunit	univ	cs	10	F0F1 ATP synthase subunit epsilon	61fcb5846be14f722b6321c536b0c10dmlt_after	4	ATP synthase epsilon chain	d694ba64f3ef0ea62a306c522401c399mlt_after	1	ATP synthase epsilon chain 1	9d58e3766562b21a0cbbbde4619ff295mlt_after	2	ATP synthase epsilon chain 2	357638427f2f0223a2af3b3e0222a7bemlt_after	3	ATP synthase subunit epsilon, mitochondrial	590e14d44e525b701142ad181e831e21mlt_after	5	ATP synthase epsilon chain, plastid	b801341a866167340e8b6090c0b74b74mlt_after	6	ATP synthase epsilon chain, cyanelle	1865c65b41598cdb906dd1ecd7d40c3dmlt_after	7	ATP synthase subunit epsilon-like protein, mitochondrial	30bfb6525cd9fe553947863ffb284257mlt_after	8	ATP synthase subunit 1	dc243df1ed371eb40244c387c9b39256mlt_after	9	ATP synthase subunit L	f60214d5939a6795ab45a8a5239f965bmlt_after	10
